time,vivo
2006-09,12
2006-10,100
2006-11,62
2006-12,87
2007-01,49
2007-02,53
2007-03,33
2007-04,36
2007-05,36
2007-06,42
2007-07,40
2007-08,41
2007-09,36
2007-10,31
2007-11,32
2007-12,50
2008-01,27
2008-02,32
2008-03,29
2008-04,24
2008-05,31
2008-06,30
2008-07,28
2008-08,25
2008-09,23
2008-10,26
2008-11,32
2008-12,41
2009-01,29
2009-02,28
2009-03,20
2009-04,29
2009-05,26
2009-06,30
2009-07,30
2009-08,23
2009-09,22
2009-10,29
2009-11,30
2009-12,54
2010-01,38
2010-02,41
2010-03,36
2010-04,33
2010-05,38
2010-06,41
2010-07,40
2010-08,38
2010-09,41
2010-10,38
2010-11,42
2010-12,62
2011-01,48
2011-02,50
2011-03,40
2011-04,41
2011-05,48
2011-06,52
2011-07,50
2011-08,40
2011-09,42
2011-10,44
2011-11,48
2011-12,74
2012-01,56
2012-02,49
2012-03,49
2012-04,52
2012-05,51
2012-06,57
2012-07,52
2012-08,50
2012-09,53
2012-10,55
2012-11,59
2012-12,79
2013-01,55
2013-02,65
2013-03,55
2013-04,54
2013-05,60
2013-06,68
2013-07,62
2013-08,64
2013-09,58
2013-10,60
2013-11,64
2013-12,84
2014-01,61
2014-02,58
2014-03,54
2014-04,55
2014-05,60
2014-06,66
2014-07,56
2014-08,53
2014-09,53
2014-10,56
2014-11,59
2014-12,79
2015-01,53
2015-02,59
2015-03,47
2015-04,51
2015-05,53
2015-06,61
2015-07,55
2015-08,54
2015-09,49
2015-10,57
2015-11,62
2015-12,87
2016-01,59
2016-02,61
2016-03,55
2016-04,52
2016-05,58
2016-06,63
2016-07,55
2016-08,66
2016-09,85
