time,query
2004-01,9
2004-02,8
2004-03,9
2004-04,10
2004-05,10
2004-06,12
2004-07,13
2004-08,12
2004-09,11
2004-10,11
2004-11,9
2004-12,10
2005-01,9
2005-02,10
2005-03,10
2005-04,10
2005-05,10
2005-06,10
2005-07,11
2005-08,11
2005-09,11
2005-10,10
2005-11,8
2005-12,9
2006-01,8
2006-02,8
2006-03,8
2006-04,9
2006-05,9
2006-06,10
2006-07,10
2006-08,12
2006-09,10
2006-10,8
2006-11,13
2006-12,32
2007-01,9
2007-02,9
2007-03,11
2007-04,10
2007-05,10
2007-06,10
2007-07,13
2007-08,12
2007-09,11
2007-10,9
2007-11,10
2007-12,9
2008-01,10
2008-02,9
2008-03,11
2008-04,10
2008-05,11
2008-06,12
2008-07,15
2008-08,13
2008-09,11
2008-10,10
2008-11,11
2008-12,9
2009-01,11
2009-02,11
2009-03,11
2009-04,11
2009-05,12
2009-06,16
2009-07,15
2009-08,14
2009-09,14
2009-10,15
2009-11,13
2009-12,13
2010-01,26
2010-02,18
2010-03,15
2010-04,15
2010-05,17
2010-06,17
2010-07,19
2010-08,19
2010-09,15
2010-10,15
2010-11,13
2010-12,14
2011-01,16
2011-02,15
2011-03,17
2011-04,20
2011-05,19
2011-06,22
2011-07,30
2011-08,28
2011-09,19
2011-10,17
2011-11,17
2011-12,23
2012-01,22
2012-02,19
2012-03,18
2012-04,20
2012-05,21
2012-06,26
2012-07,25
2012-08,21
2012-09,22
2012-10,20
2012-11,37
2012-12,46
2013-01,31
2013-02,27
2013-03,24
2013-04,100
2013-05,21
2013-06,25
2013-07,29
2013-08,29
2013-09,30
2013-10,24
2013-11,29
2013-12,32
2014-01,31
2014-02,33
2014-03,33
2014-04,29
2014-05,29
2014-06,33
2014-07,42
2014-08,36
2014-09,29
2014-10,25
2014-11,25
2014-12,28
2015-01,33
2015-02,40
2015-03,42
2015-04,34
2015-05,37
2015-06,49
2015-07,56
2015-08,44
2015-09,34
2015-10,28
2015-11,29
2015-12,43
2016-01,43
2016-02,40
2016-03,40
2016-04,39
2016-05,39
2016-06,43
2016-07,44
2016-08,61
